Student_ID,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level,Age,Sex,Job_Status,Borough_MX,Has_Anxiety,Recent_Illness_Doctor_Visit,In_Relationship
1,6.9,3.8,8.7,2.8,1.8,2.99,Moderate,21,Female,Full-time,Iztapalapa,No,No,Yes
2,5.3,3.5,8.0,4.2,3.0,2.75,Low,22,Female,Part-time,Iztacalco,Yes,No,No
3,5.1,3.9,9.2,1.2,4.6,2.67,Low,24,Female,Full-time,Cuajimalpa de Morelos,No,No,Yes
4,6.5,2.1,7.2,1.7,6.5,2.88,Moderate,23,Female,Full-time,Coyoacan,Yes,Yes,Yes
5,8.1,0.6,6.5,2.2,6.6,3.51,High,24,Female,Part-time,Gustavo A. Madero,Yes,Yes,Yes
6,6.0,2.1,8.0,0.3,7.6,2.85,Moderate,23,Male,Not working,Azcapotzalco,Yes,Yes,No
7,8.0,0.7,5.3,5.7,4.3,3.08,High,22,Female,Not working,Iztacalco,Yes,Yes,No
8,8.4,1.8,5.6,3.0,5.2,3.2,High,23,Male,Full-time,Venustiano Carranza,No,No,Yes
9,5.2,3.6,6.3,4.0,4.9,2.82,Low,22,Male,Not working,Miguel Hidalgo,No,No,Yes
10,7.7,0.7,9.8,4.5,1.3,2.76,Moderate,22,Male,Full-time,Iztapalapa,No,No,No
11,9.7,3.6,8.0,2.5,0.2,3.43,High,23,Female,Not working,Miguel Hidalgo,Yes,No,Yes
12,6.9,1.1,9.1,2.1,4.8,2.97,Moderate,20,Male,Not working,Xochimilco,No,No,Yes
13,6.4,2.2,5.7,4.8,4.9,2.82,High,24,Male,Part-time,Benito Juarez,Yes,No,No
14,5.0,3.3,8.5,4.4,2.8,2.87,Low,21,Male,Full-time,Iztacalco,No,No,Yes
15,8.9,0.3,6.8,0.7,7.3,3.4,High,24,Male,Not working,Iztapalapa,Yes,Yes,Yes
16,6.7,0.3,6.6,2.0,8.4,3.2,Moderate,23,Male,Full-time,Magdalena Contreras,No,No,No
17,8.6,2.6,9.4,1.6,1.8,3.36,High,25,Male,Not working,Iztacalco,Yes,No,No
18,8.8,2.2,8.9,2.0,2.1,3.19,High,22,Male,Not working,Azcapotzalco,Yes,Yes,Yes
19,7.6,1.7,5.1,0.6,9.0,3.16,High,22,Female,Part-time,Cuajimalpa de Morelos,No,Yes,No
20,6.6,2.0,9.5,1.5,4.4,2.93,Moderate,23,Female,Full-time,Venustiano Carranza,Yes,Yes,No
21,7.1,3.0,6.1,0.5,7.3,2.9,Moderate,20,Female,Not working,Tlahuac,No,No,Yes
22,9.6,3.2,8.2,2.6,0.4,3.34,High,24,Female,Full-time,Alvaro Obregon,Yes,Yes,No
23,9.0,0.7,9.5,2.6,2.2,3.21,High,25,Male,Part-time,Cuajimalpa de Morelos,Yes,Yes,Yes
24,6.1,1.7,9.1,5.2,1.9,2.85,Moderate,24,Female,Part-time,Tlalpan,Yes,Yes,Yes
25,5.0,2.0,7.1,1.3,8.6,2.68,Low,24,Male,Part-time,Cuauhtemoc,Yes,Yes,Yes
26,9.7,1.3,7.6,3.8,1.6,3.29,High,22,Male,Not working,Venustiano Carranza,Yes,No,No
27,6.8,3.9,9.8,0.9,2.6,2.64,Moderate,24,Female,Full-time,Benito Juarez,Yes,No,Yes
28,6.4,0.1,8.0,3.0,6.5,2.95,Moderate,24,Female,Not working,Iztapalapa,Yes,No,No
29,5.3,1.1,9.5,1.4,6.7,2.79,Low,23,Female,Full-time,Magdalena Contreras,Yes,Yes,Yes
30,9.9,1.0,8.4,3.6,1.1,3.25,High,23,Female,Part-time,Tlalpan,No,Yes,No
31,6.2,2.9,6.8,3.8,4.3,3.05,Moderate,22,Male,Part-time,Miguel Hidalgo,No,Yes,Yes
32,5.5,3.3,6.6,1.1,7.5,3.26,Low,21,Female,Not working,Gustavo A. Madero,Yes,No,Yes
33,5.2,2.4,8.4,0.1,7.9,2.47,Low,24,Female,Not working,Azcapotzalco,No,No,Yes
34,8.2,0.7,8.5,2.3,4.3,3.24,High,20,Male,Part-time,Iztapalapa,Yes,Yes,No
35,9.7,0.6,6.7,0.7,6.3,3.62,High,22,Female,Part-time,Iztacalco,Yes,No,No
36,9.1,2.2,7.6,1.2,3.9,3.12,High,23,Female,Part-time,Azcapotzalco,Yes,Yes,Yes
37,5.5,3.6,9.5,3.4,2.0,2.58,Low,24,Male,Full-time,Coyoacan,Yes,Yes,No
38,8.6,3.6,9.4,1.9,0.5,3.03,High,25,Female,Not working,Iztacalco,Yes,Yes,Yes
39,8.2,0.3,5.8,5.4,4.3,3.29,High,24,Male,Part-time,Iztapalapa,Yes,Yes,Yes
40,5.0,0.6,7.7,4.2,6.5,2.61,Low,22,Male,Part-time,Azcapotzalco,No,No,Yes
41,8.3,0.9,8.6,1.4,4.8,3.48,High,24,Female,Not working,Iztapalapa,Yes,No,Yes
42,8.2,3.4,8.3,2.3,1.8,3.07,High,21,Female,Not working,Tlalpan,No,Yes,No
43,5.5,1.5,6.3,1.5,9.2,2.81,Low,25,Female,Not working,Gustavo A. Madero,No,No,No
44,9.5,2.5,9.0,1.5,1.5,3.49,High,22,Female,Part-time,Cuajimalpa de Morelos,Yes,No,No
45,7.9,2.0,6.0,4.3,3.8,2.97,Moderate,21,Male,Part-time,Iztapalapa,Yes,No,No
46,9.7,3.8,9.6,0.3,0.6,3.55,High,22,Female,Not working,Alvaro Obregon,No,No,Yes
47,5.1,3.7,7.1,5.8,2.3,2.6,Low,22,Female,Not working,Tlalpan,No,No,No
48,9.3,1.3,5.8,3.3,4.3,3.09,High,22,Male,Not working,Gustavo A. Madero,Yes,Yes,No
